,trigger#,ADCtime,PMTA,PMTB,PMTC,PMTD,PeakA,PeakB,PeakC,PeakD,TimeOfFlight,GrabTimeStart,GrabTimeEnd,RoiX,RoiY,RoiWidth,RoiHeight,StartByte,ComparatorOut,StartPoint,SignalLength,Status,RunTime,InhibitTime,RoiNumber
343,325,417.8907539,0.07080078,0.048823357,-0.007393956,-0.0031971931,0.097436905,0.3497982,0.010960102,0.011637211,69.565216,417.8907539,417.9333132999999,380,246,976,140,11635056,0,0,0,0,417.9240625,31.16378689236111,344
344,325,417.8907539,0.07080078,0.048823357,-0.007393956,-0.0031971931,0.097436905,0.3497982,0.010960102,0.011637211,69.565216,417.8907539,417.9333132999999,172,254,48,68,11771696,0,0,0,0,417.9240625,31.16378689236111,345
381,362,477.0650024,0.014163256,-0.001232624,-0.0017601252,0.00037133694,0.12038708,0.014288425,0.010728836,0.011456013,63.043476,477.0650024,477.1100001,1004,254,216,76,12171216,0,0,0,0,477.1018402777778,34.336085069444444,382
382,362,477.0650024,0.014163256,-0.001232624,-0.0017601252,0.00037133694,0.12038708,0.014288425,0.010728836,0.011456013,63.043476,477.0650024,477.1100001,628,326,224,100,12187632,0,0,0,0,477.1018402777778,34.336085069444444,383
438,418,609.3502228,0.09086013,-0.0019037724,-0.002861619,-0.0003784895,0.7532215,0.014388561,0.010857582,0.01159668,78.26087,609.3502228,609.3950385,420,646,88,92,12875104,0,0,0,0,609.3915277777778,39.13469618055556,439
439,418,609.3502228,0.09086013,-0.0019037724,-0.002861619,-0.0003784895,0.7532215,0.014388561,0.010857582,0.01159668,78.26087,609.3502228,609.3950385,644,654,224,92,12883200,0,0,0,0,609.3915277777778,39.13469618055556,440
440,419,610.166213,0.013203025,0.007213354,-0.0035214424,-0.00074088573,0.04778862,0.040869713,0.01074791,0.011453629,56.52174,610.166213,610.2122446,212,158,112,92,12903808,0,0,0,0,610.2059722222223,39.21775607638889,441
441,419,610.166213,0.013203025,0.007213354,-0.0035214424,-0.00074088573,0.04778862,0.040869713,0.01074791,0.011453629,56.52174,610.166213,610.2122446,452,174,368,100,12914112,0,0,0,0,610.2059722222223,39.21775607638889,442
489,467,768.9409991,0.015182495,0.040988922,-0.0016987324,0.0004541874,0.1626563,0.32342672,0.010998249,0.011701584,60.869564,768.9409991,768.9881657999999,764,446,184,228,13524672,0,0,0,0,768.9882638888889,43.307621527777776,490
490,467,768.9409991,0.015182495,0.040988922,-0.0016987324,0.0004541874,0.1626563,0.32342672,0.010998249,0.011701584,60.869564,768.9409991,768.9881657999999,1052,526,240,140,13566624,0,0,0,0,768.9882638888889,43.307621527777776,491
495,472,790.7154843999999,0.0179559,-0.0009536743,-0.0020569563,0.00017523766,0.3149128,0.014345646,0.010812283,0.011548996,67.391304,790.7154843999999,790.7603249,684,222,128,140,13656768,0,0,0,0,790.7619444444445,43.73422743055555,496
496,472,790.7154843999999,0.0179559,-0.0009536743,-0.0020569563,0.00017523766,0.3149128,0.014345646,0.010812283,0.011548996,67.391304,790.7154843999999,790.7603249,476,270,112,60,13674688,0,0,0,0,790.7619444444445,43.73422743055555,497
