RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,14.7630579,14.786636284722224,0.07460503472222223,0.07460503472222223,0.061300130208333345,1,0,0,0,0
3,15.1866641,15.209826388888885,0.160625,0.08601996527777776,0.06270500578703703,0,68,64,828,398
4,15.316735099999999,15.340355902777777,0.2476171875,0.08699218750000001,0.06288641131365741,1,0,0,0,0
5,15.404562900000002,15.427443576388885,0.3340299479166667,0.08641276041666668,0.06288922345196758,0,44,72,844,334
6,15.534367999999999,15.557942708333336,0.41908854166666665,0.08505859374999997,0.06307855902777779,0,52,72,812,502
7,15.6919469,15.715611979166667,0.5050347222222222,0.08594618055555558,0.06337740523726852,1,0,0,0,0
8,15.7909346,15.814125434027776,0.5915494791666667,0.08651475694444444,0.06342739981192129,0,52,72,796,702
9,15.8824796,15.904806857638887,0.6744769965277778,0.08292751736111115,0.06345970775462963,0,52,64,844,270
10,16.0779538,16.101579861111112,0.7603602430555556,0.08588324652777779,0.06392174840856482,0,52,72,804,614
11,16.182491900000002,16.206694878472227,0.8451584201388889,0.08479817708333326,0.06400640190972225,0,52,72,796,766
12,16.313424100000002,16.336438802083332,0.9295203993055556,0.08436197916666677,0.0641954933449074,0,52,64,820,502
13,16.408277599999998,16.430440538194443,1.0138671875,0.08434678819444441,0.06423572229456018,1,0,0,0,0
14,16.500476000000003,16.523285590277773,1.098851996527778,0.08498480902777805,0.06426847330729164,0,52,72,812,478
15,16.6033529,16.626414930555555,1.1836002604166669,0.08474826388888879,0.06434506112557871,0,52,72,804,814
16,16.6985466,16.71913845486111,1.2661197916666669,0.08251953125,0.06438757776331018,0,52,72,796,534
17,16.788546699999998,16.8096484375,1.3495399305555555,0.08342013888888866,0.06441711877893519,0,44,72,788,774
18,16.875636999999998,16.898962673611113,1.43525390625,0.0857139756944445,0.06443211986400463,0,52,64,812,630
19,16.9665526,16.985653211805555,1.5157161458333333,0.0804622395833332,0.0644580711082176,1,0,0,0,0
20,17.0723442,17.095505642361108,1.6023133680555557,0.08659722222222244,0.06455496780960647,0,52,72,812,654
