RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,6.586149000000002,6.610479600694443,0.07630208333333334,0.07630208333333334,0.02722573965567129,1,0,0,0,0
3,7.7196565999999995,7.742955729166668,0.16215928819444445,0.0858572048611111,0.031586651837384266,0,52,80,924,454
4,9.5315495,9.554396701388887,0.24749131944444444,0.08533203125,0.03877877242476851,0,44,80,924,446
5,10.0668651,10.091638454861112,0.33551649305555553,0.08802517361111109,0.04065050817418982,0,52,88,916,414
6,10.951528699999999,10.973602430555555,0.4205815972222222,0.08506510416666668,0.04397092013888889,0,52,88,916,318
7,11.0506101,11.071746961805555,0.5037760416666667,0.08319444444444446,0.044033212167245366,0,44,80,940,534
8,11.169930699999998,11.192821180555557,0.5878233506944445,0.0840473090277778,0.044187490957754635,0,52,80,924,342
9,11.2665365,11.28921875,0.6745811631944445,0.08675781250000003,0.044227656611689814,0,52,80,940,526
10,11.384497900000001,11.407708333333336,0.7586979166666666,0.08411675347222214,0.04437087673611113,0,52,72,916,238
11,11.478762300000001,11.500720486111113,0.8431380208333333,0.0844401041666667,0.044406593605324084,0,52,80,924,950
12,11.570909,11.593990885416664,0.9277061631944444,0.0845681423611111,0.044442853009259244,0,44,72,924,526
13,11.680671400000001,11.707686631944444,1.0164778645833332,0.08877170138888879,0.044546703197337965,0,60,80,940,558
14,11.785562800000001,11.807853732638891,1.1007248263888891,0.08424696180555591,0.04461303710937501,0,52,80,916,238
15,11.9394629,11.962625868055556,1.186015625,0.08529079861111089,0.04490254267939815,0,52,88,908,494
16,12.1254125,12.151002604166667,1.2740798611111108,0.0880642361111108,0.04532051142939815,0,44,72,916,286
17,12.2686585,12.292055121527778,1.3606032986111112,0.08652343750000036,0.04554771592881945,0,60,80,916,878
18,12.379676199999999,12.402747395833336,1.44625,0.08564670138888886,0.045652072482638896,0,52,80,916,414
19,12.491691099999999,12.513374565972226,1.529262152777778,0.08301215277777807,0.04576713505497687,0,44,80,916,294
20,12.5780204,12.600032552083333,1.6142513020833331,0.08498914930555501,0.04577408854166666,0,52,88,924,838
21,12.677113,12.699427083333333,1.7026106770833334,0.08835937500000024,0.045820068359375,0,52,80,916,414
22,12.8270415,12.851725260416664,1.7891232638888892,0.08651258680555585,0.04609417498553239,0,44,72,924,374
23,12.9232888,12.945811631944444,1.8748307291666664,0.08570746527777717,0.04612908709490741,0,156,152,964,670
24,13.071715199999998,13.094446614583333,1.9591623263888889,0.0843315972222225,0.04639701786747685,0,44,88,908,478
25,13.2489505,13.273984375,2.0474479166666666,0.08828559027777771,0.046777235243055555,0,52,72,932,638
26,13.3638212,13.387604166666666,2.134841579861111,0.0873936631944443,0.04688651077835648,0,52,72,940,742
27,13.5271547,13.550948350694444,2.22134765625,0.08650607638888896,0.04720666956018518,0,52,80,932,734
28,13.6776591,13.700720486111114,2.3072265625,0.08587890625000005,0.04747289134837964,0,52,72,940,446
29,13.8614842,13.885147569444444,2.3935763888888895,0.08634982638888955,0.04788154658564814,0,52,72,924,366
30,13.955717499999999,13.979142795138891,2.480826822916667,0.08725043402777732,0.04790964988425927,0,52,72,932,870
31,14.154371,14.176575520833332,2.5638736979166667,0.08304687499999996,0.04838625759548611,0,52,80,924,694
32,14.265344099999998,14.287693142361109,2.6501801215277783,0.08630642361111152,0.048489637586805544,0,44,80,908,262
33,14.3697898,14.392738715277776,2.734581163194445,0.08440104166666673,0.04857565646701388,0,52,80,916,286
34,14.461573000000001,14.482393663194443,2.8161653645833336,0.08158420138888856,0.04860928457754629,0,44,72,940,726
35,14.552050099999999,14.571243489583333,2.896065538194444,0.07990017361111024,0.048646574797453705,0,60,72,932,582
36,14.7987984,14.821983506944445,2.9808246527777778,0.08475911458333396,0.049338161892361114,0,60,72,932,662
37,14.912109200000002,14.934635416666667,3.066256510416667,0.08543185763888905,0.04945157877604167,0,44,80,924,542
38,15.014248199999999,15.035141059027776,3.1495030381944447,0.08324652777777786,0.04952349175347222,0,52,80,924,646
39,15.1048907,15.127452256944444,3.2346918402777787,0.08518880208333401,0.04955316840277777,0,60,80,932,830
40,15.2397383,15.261273871527774,3.3204730902777784,0.0857812499999997,0.04975333658854165,0,52,80,940,806
41,15.323288,15.347124565972226,3.4062434895833333,0.08577039930555497,0.04975367115162039,0,52,80,916,278
42,15.428312900000002,15.450813802083333,3.491041666666667,0.08479817708333348,0.04983238389756945,0,52,80,916,206
43,15.548159699999998,15.570859375,3.5753993055555555,0.0843576388888887,0.049981083622685184,0,52,72,948,566
44,15.63892,15.661467013888887,3.659620225694444,0.08422092013888838,0.05000769495081017,0,52,72,940,478
45,15.7390587,15.760826822916664,3.743830295138889,0.08421006944444498,0.05007081886574073,0,52,72,940,606
46,15.834822500000001,15.857413194444444,3.827901475694445,0.08407118055555607,0.050122965494791664,0,52,80,916,550
47,15.9448449,15.967111545138891,3.91236328125,0.08446180555555527,0.050228117766203714,0,52,72,940,470
48,16.0931566,16.11579861111111,3.9973394097222217,0.08497612847222147,0.050493580005787034,0,60,80,916,414
49,16.197452,16.220518663194444,4.083335503472221,0.0859960937499995,0.050571596498842596,0,52,88,916,638
50,16.2979152,16.3198046875,4.167593315972222,0.08425781250000064,0.0506342140480324,0,52,80,932,422
51,16.3850513,16.41078125,4.2546983506944445,0.08710503472222264,0.05065034541377315,0,52,80,932,606
52,16.4850025,16.507454427083335,4.338669704861111,0.08397135416666668,0.050703269675925935,0,52,80,932,638
53,16.6043983,16.6253125,4.423064236111111,0.08439453125000007,0.050842701099537035,0,52,72,924,534
54,16.717786,16.740401475694444,4.507269965277779,0.08420572916666735,0.05097138129340277,0,52,72,956,582
55,16.890505700000002,16.914407552083333,4.59302734375,0.08575737847222165,0.051339084201388885,0,44,88,916,334
56,17.0142889,17.036584201388887,4.677981770833333,0.0849544270833329,0.05149417679398147,0,52,80,924,382
57,17.1642443,17.186720920138892,4.762426215277777,0.08444444444444432,0.05176789460358798,0,52,80,916,494
58,17.3020517,17.32515407986111,4.847940538194443,0.08551432291666572,0.05198838975694445,0,52,80,932,582
59,17.4359823,17.457588975694446,4.931234809027779,0.08329427083333574,0.05219314236111112,0,52,72,924,342
60,17.5300821,17.550436197916667,5.01513671875,0.08390190972222111,0.05223041449652778,0,52,72,988,558
61,17.6226383,17.643804253472222,5.097899305555557,0.08276258680555681,0.05227460394965277,0,52,72,916,310
62,17.7465188,17.769596354166666,5.1841449652777785,0.08624565972222165,0.052439380787037033,0,52,80,932,742
63,17.885261,17.908296440972222,5.2690277777777785,0.08488281250000007,0.05266361942997685,0,52,80,916,542
64,17.972018199999994,17.994246961805555,5.352890625,0.08386284722222115,0.05267231807002314,0,52,80,932,710
65,18.0841233,18.10552517361111,5.437196180555556,0.08430555555555674,0.052784704137731474,0,52,80,908,278
66,18.182844600000003,18.205197482638887,5.520707465277778,0.08351128472222147,0.052852041739004624,0,52,72,900,214
67,18.2976929,18.320399305555554,5.60623046875,0.08552300347222186,0.05297570348668981,0,52,80,908,478
68,18.42474,18.447055121527782,5.690700954861112,0.08447048611111185,0.053151475694444464,0,52,80,940,678
69,18.5533455,18.57624131944445,5.776234809027778,0.08553385416666615,0.053333360460069465,0,60,72,916,438
70,18.671399899999997,18.69442491319445,5.8614756944444455,0.08524088541666774,0.05347062174479168,0,52,72,924,446
71,18.7605496,18.783172743055555,5.946254340277778,0.08477864583333261,0.05348716001157407,0,52,88,916,534
72,18.7605496,18.783172743055555,5.946254340277778,0.0,0.05348716001157407,0,60,80,764,822
73,18.9345985,18.958995225694444,6.031497395833332,0.08524305555555411,0.053864574291087965,0,44,88,916,222
74,19.0272546,19.051171875,6.116786024305554,0.08528862847222207,0.05389327437789353,0,52,72,916,366
75,19.1283069,19.151460503472226,6.200614149305554,0.08382812500000014,0.0539618598090278,0,60,80,940,798
76,19.227481500000003,19.2486328125,6.283083767361112,0.08246961805555753,0.054023121021412025,0,52,72,916,462
77,19.311360500000003,19.334266493055555,6.368235677083334,0.08515190972222175,0.054025128399884256,0,52,80,908,438
78,19.3979075,19.417350260416665,6.450509982638889,0.08227430555555504,0.054028501157407406,0,52,80,900,406
79,19.488366199999998,19.510381944444443,6.53484375,0.08433376736111153,0.05406474247685185,0,52,80,924,814
80,19.5851193,19.6088671875,6.620520833333333,0.08567708333333268,0.05411810980902777,0,60,80,940,790
81,19.742765300000002,19.766145833333333,6.70669921875,0.08617838541666689,0.05441436089409722,0,52,80,924,542
82,19.8396792,19.861395399305557,6.790327690972222,0.08362847222222225,0.05446278211805556,0,52,88,916,414
83,19.9248715,19.947280815972217,6.874995659722222,0.08466796874999982,0.054467854817708314,0,60,88,908,310
84,20.0443432,20.067855902777783,6.960043402777778,0.08504774305555607,0.05461588541666669,0,52,72,940,534
85,20.1414475,20.16628255208333,7.046393229166667,0.0863498263888891,0.05466620551215276,0,52,72,924,310
86,20.2435808,20.265703125,7.130505642361111,0.08411241319444418,0.05472998951099538,0,44,80,924,222
87,20.339958600000006,20.361842447916672,7.213693576388889,0.08318793402777747,0.05478395363136577,0,44,80,924,382
88,20.456828100000003,20.479822048611116,7.2977105034722225,0.08401692708333375,0.05492546477141205,0,52,80,932,502
89,20.5420243,20.56337673611111,7.381069878472222,0.08335937499999968,0.05492627857349537,0,52,80,940,686
90,20.637778,20.662115885416668,7.468309461805554,0.08723958333333215,0.054974193431712975,0,52,72,924,422
91,20.7946952,20.818719618055557,7.554075520833332,0.08576605902777779,0.0552693504050926,0,52,80,932,566
92,20.905266500000003,20.92654296875,7.637063802083333,0.08298828125000046,0.05537282986111111,0,52,80,940,718
93,20.9960637,21.019466145833334,7.7214171006944445,0.08435329861111196,0.055408537688078706,0,52,64,916,278
94,21.148489399999995,21.17145616319445,7.8064171006944445,0.08499999999999996,0.05568766276041669,0,52,88,916,678
95,21.2696887,21.291380208333333,7.890907118055557,0.08449001736111228,0.055835304542824066,0,52,80,924,414
96,21.370527199999998,21.393170572916667,7.974739583333332,0.08383246527777555,0.055910129123263895,0,52,72,932,454
97,21.497619,21.52130208333333,8.060167100694445,0.08542751736111232,0.05608806242766203,0,52,80,956,742
98,21.5971836,21.62071831597223,8.145084635416667,0.08491753472222285,0.056148473668981506,0,44,80,924,566
99,21.8399196,21.863611111111112,8.23089626736111,0.08581163194444308,0.056802978515625005,0,52,80,924,598
100,21.9293638,21.95134982638889,8.315262586805558,0.08436631944444706,0.056817030164930546,0,60,72,940,606
101,22.1322302,22.156265190972217,8.403207465277777,0.08794487847221966,0.0573044071903935,0,44,80,924,422
102,22.2374767,22.260251736111112,8.488361545138886,0.08515407986110901,0.05738287579571761,0,44,80,932,590
103,22.41516,22.438815104166668,8.575366753472222,0.08700520833333591,0.057764368127893526,0,52,72,916,302
104,22.5131797,22.534440104166666,8.658337673611111,0.08297092013888907,0.057817093460648145,0,52,80,932,558
105,22.6279682,22.65069661458333,8.742486979166667,0.084149305555556,0.05795087348090277,0,52,80,916,350
106,22.7234162,22.74587673611111,8.827228732638886,0.08474175347221902,0.057994366681134266,0,52,80,916,638
107,22.888421,22.912810329861113,8.914468315972222,0.0872395833333357,0.058326425057870376,0,52,80,908,438
108,23.0744727,23.097389322916666,9.000045572916667,0.08557725694444507,0.058738932291666664,0,52,72,924,478
109,23.1657649,23.187918836805554,9.084494357638887,0.08444878472221973,0.058764268663194445,0,52,80,924,502
110,23.3143293,23.338135850694453,9.170199652777775,0.08570529513888836,0.059033067491319494,0,52,88,916,222
111,23.4124417,23.43486979166667,9.255249565972225,0.08504991319444954,0.05908175094039352,0,44,80,924,254
112,23.521077399999996,23.5437890625,9.338506944444443,0.08325737847221859,0.05918867549189815,0,52,72,924,510
113,23.7020475,23.726193576388887,9.425883246527778,0.08737630208333513,0.05958462637442129,0,52,80,932,790
114,23.855273699999998,23.87875217013889,9.511614583333332,0.08573133680555323,0.059863073278356486,0,52,80,924,534
115,23.9678723,23.98927083333333,9.595236545138887,0.08362196180555515,0.05997514286747684,0,52,80,940,638
116,24.0729086,24.094533420138887,9.677931857638887,0.08269531250000028,0.06006917317708334,0,44,80,932,430
117,24.208115000000006,24.23220486111111,9.763489583333332,0.08555772569444464,0.060286313657407414,0,100,152,932,350
118,24.327833399999996,24.351295572916666,9.85017578125,0.0866861979166682,0.060421332465277776,0,52,80,916,278
119,24.4217161,24.443146701388887,9.933368055555556,0.08319227430555642,0.060457411024305546,0,60,80,932,374
120,24.5113253,24.53472005208333,10.0183203125,0.08495225694444386,0.06048499891493054,0,52,88,908,494
121,24.6034662,24.62624348958333,10.10310546875,0.08478515624999972,0.06051307508680555,0,52,72,948,606
122,24.74118,24.76277560763889,10.186412760416667,0.08330729166666728,0.060734845196759264,0,44,80,924,542
123,24.830598499999997,24.85263671875,10.269832899305557,0.08342013888889,0.06076168258101851,0,44,80,924,542
124,24.9601472,24.9846875,10.355891927083333,0.0860590277777753,0.06095331488715278,0,52,80,932,598
125,25.0520602,25.07431206597223,10.4403515625,0.08445963541666757,0.060974835431134286,0,44,88,932,758
126,25.137607100000004,25.16035373263889,10.524331597222222,0.08398003472222193,0.06098342556423611,0,52,72,932,366
127,25.3371923,25.36094401041667,10.608917100694443,0.08458550347222094,0.06146677879050928,0,52,80,932,470
128,25.431576999999997,25.45370659722223,10.693055555555556,0.08413845486111349,0.06150271267361114,0,52,80,924,358
129,25.657026,25.680065104166665,10.776890190972226,0.08383463541666991,0.06209656213831016,0,52,88,924,614
130,25.743049300000003,25.76532118055556,10.860130208333333,0.08324001736110631,0.062104962384259284,0,52,80,940,806
131,25.9051617,25.92932291666667,10.950088975694444,0.08995876736111086,0.06241347475405094,0,52,88,924,830
132,26.0353957,26.05963324652777,11.036369357638891,0.08628038194444798,0.06259693287037033,0,52,80,932,662
133,26.139314499999998,26.16427951388889,11.122873263888891,0.08650390624999993,0.06267252604166666,0,52,80,932,518
