RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,10.105918199999998,10.130342881944443,0.07520833333333334,0.07520833333333334,0.04189639395254629,0,52,80,924,406
3,10.379810699999998,10.401792534722222,0.15975694444444444,0.0845486111111111,0.042675148292824074,0,52,80,932,414
4,10.486005,10.508322482638887,0.24379991319444444,0.08404296875,0.04276884403935185,0,44,72,940,414
5,10.6589239,10.680188802083334,0.32774305555555555,0.08394314236111111,0.04313519061053241,0,52,88,916,526
6,10.9652427,10.989012586805556,0.4139952256944445,0.08625217013888897,0.044062572337962964,0,52,80,908,350
7,11.0642308,11.086315104166667,0.49814453125,0.0841493055555555,0.04411737738715278,0,52,80,932,502
8,11.1701364,11.19564453125,0.5854926215277778,0.08734809027777779,0.044208966290509265,0,44,80,940,846
9,11.318285000000001,11.340698784722226,0.6711458333333333,0.08565321180555552,0.04445647063078705,0,52,80,924,310
10,11.4208245,11.44337890625,0.75615234375,0.08500651041666663,0.04453011067708334,0,44,72,940,318
11,11.5298311,11.552708333333333,0.8440451388888889,0.08789279513888892,0.04461942997685185,0,52,80,924,350
12,11.618896,11.640473090277776,0.9270703125,0.08302517361111117,0.044639178240740734,0,52,80,924,398
13,11.7253122,11.747237413194444,1.010234375,0.08316406249999997,0.04473751265914352,0,52,80,924,318
14,11.812798599999999,11.831323784722226,1.090110677083333,0.07987630208333307,0.044755054615162056,0,52,72,948,574
15,11.9441023,11.966297743055556,1.1740451388888888,0.08393446180555575,0.044967719184027775,0,60,80,948,638
16,12.087614199999999,12.109722222222222,1.2584375,0.08439236111111126,0.045213686342592596,0,52,80,924,486
17,12.3377495,12.360998263888886,1.3433333333333333,0.08489583333333317,0.04590693721064813,0,52,72,940,326
18,12.5902564,12.613302951388887,1.42970703125,0.08637369791666671,0.046598316333912024,0,52,80,932,470
19,12.7918387,12.816154513888891,1.516842447916667,0.08713541666666691,0.04708046694155093,0,52,72,932,342
20,12.9292151,12.952567274305556,1.6017990451388888,0.08495659722222193,0.047294867621527785,0,44,80,940,238
21,13.0775551,13.101440972222226,1.6887586805555554,0.08695963541666663,0.04755284288194447,0,44,72,924,254
22,13.222065400000002,13.24412109375,1.7714431423611108,0.08268446180555533,0.0478028247974537,0,44,80,932,374
23,13.3428519,13.363142361111109,1.8551822916666667,0.08373914930555593,0.04794983362268517,0,44,80,916,470
24,13.4467303,13.468530815972226,1.9401193576388889,0.08493706597222217,0.04803504774305557,0,60,80,940,662
25,13.5354297,13.558033854166665,2.0236935763888892,0.08357421875000037,0.0480597511574074,0,52,80,924,310
26,13.8042854,13.827274305555555,2.1092751736111106,0.08558159722222136,0.04882499638310186,0,52,80,932,494
27,13.927817999999998,13.950518663194444,2.1940494791666665,0.08477430555555587,0.048985288266782404,0,52,72,932,318
28,14.0207505,14.042879774305556,2.2785568576388893,0.08450737847222278,0.049018012152777776,0,60,72,932,710
29,14.193064600000001,14.217311197916667,2.364544270833333,0.0859874131944438,0.04938652886284722,0,60,80,924,678
30,14.3542848,14.377534722222224,2.4510177951388887,0.08647352430555566,0.0496938205295139,0,68,88,932,862
