RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,10.223180699999999,10.246701388888887,0.07399522569444444,0.07399522569444444,0.04238627567997685,0,60,64,932,454
3,10.500280499999999,10.524351128472222,0.16017795138888888,0.08618272569444443,0.043184054904513894,0,52,80,932,326
4,10.5880261,10.609294704861114,0.24458550347222224,0.08440755208333336,0.04318628833912038,0,52,80,932,366
5,10.6967078,10.718858506944443,0.3284830729166667,0.08389756944444443,0.04329323097511573,0,52,72,940,270
6,10.823168199999998,10.84568359375,0.4131315104166667,0.0846484375,0.04346896701388889,0,44,72,940,454
7,10.9089391,10.929192708333336,0.4957530381944445,0.08262152777777781,0.04347266529224538,0,52,88,932,838
8,11.0009419,11.023088107638891,0.5803146701388889,0.08456163194444444,0.04351155598958334,0,44,80,924,358
9,11.101444599999999,11.129520399305555,0.6717664930555556,0.09145182291666665,0.043573974609374996,1,0,0,0,0
10,11.2233317,11.244652777777777,0.7547482638888889,0.08298177083333336,0.04370793547453703,0,60,72,924,374
11,11.375848300000001,11.400486111111109,0.8424175347222222,0.08766927083333331,0.04399195240162036,0,49,80,924,974
12,11.4889629,11.512439236111113,0.9290125868055557,0.0865950520833334,0.04409761103877316,0,52,80,916,334
13,11.5916031,11.612805989583334,1.0127170138888888,0.08370442708333314,0.044167037398726856,0,44,72,940,414
14,11.6844788,11.707378472222222,1.0979817708333333,0.08526475694444446,0.04420581958912037,0,44,72,924,358
15,11.8075022,11.830397135416666,1.1845008680555555,0.08651909722222229,0.04435790111400462,0,52,72,924,270
16,11.9767219,12.000603298611109,1.2707682291666669,0.08626736111111133,0.04470764612268518,0,52,80,916,278
17,12.065281599999999,12.087523871527774,1.3549631076388888,0.08419487847222196,0.04471900318287035,0,44,72,932,302
18,12.150349400000001,12.171883680555556,1.4387543402777778,0.08379123263888899,0.0447213722511574,0,52,88,940,870
19,12.2363375,12.258658854166667,1.5230099826388892,0.08425564236111138,0.044731870298032404,0,52,72,924,534
20,12.4263295,12.449390190972224,1.6079665798611111,0.08495659722222193,0.045172598379629635,0,52,88,916,406
21,12.5236923,12.54845703125,1.6958094618055557,0.08784288194444456,0.045219364872685186,0,52,72,948,550
22,12.6120028,12.634346788194444,1.7809288194444444,0.08511935763888867,0.045222574869791664,0,52,80,916,310
23,12.823964199999999,12.846642795138886,1.8668229166666668,0.08589409722222241,0.04574924949363424,0,52,80,940,478
24,12.9496427,12.9722265625,1.9518923611111112,0.08506944444444442,0.0459180591724537,0,52,72,940,502
25,13.0482416,13.070579427083333,2.0368012152777784,0.08490885416666716,0.04597407588252314,0,52,80,948,758
26,13.2974742,13.320379774305556,2.1234548611111106,0.08665364583333224,0.04665385380497686,0,52,80,948,854
27,13.3968231,13.420082465277776,2.2088302951388887,0.08537543402777814,0.04671355070891203,0,52,72,932,350
28,13.509232,13.532250434027777,2.2938541666666667,0.08502387152777802,0.04682665111400463,0,60,80,924,534
