RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,10.040117899999998,10.061946614583333,0.07281467013888887,0.07281467013888887,0.041621383101851844,0,52,80,940,446
3,10.4121957,10.435924479166667,0.15868272569444444,0.08586805555555557,0.0428218406394676,0,52,72,940,582
4,10.6127916,10.637096354166667,0.2450520833333333,0.08636935763888887,0.043300184461805565,0,52,80,924,414
5,10.8602941,10.8836328125,0.3308224826388889,0.0857703993055556,0.04397004304108797,0,52,72,932,462
6,11.0390883,11.063621961805556,0.4186436631944445,0.0878211805555556,0.04435407624421296,0,44,80,924,494
7,11.1340683,11.154283854166666,0.5013953993055555,0.08275173611111103,0.04438703522858796,1,0,0,0,0
8,11.2460579,11.267135416666667,0.5840625,0.0826671006944445,0.044512803819444446,0,52,80,916,326
9,11.3329918,11.354594184027777,0.6675368923611111,0.0834743923611111,0.044529405381944435,0,52,72,964,662
10,11.447201199999999,11.469353298611109,0.7543923611111111,0.08685546874999994,0.04464567057291666,0,52,80,924,326
11,11.5730654,11.595900607638885,0.8391861979166667,0.08479383680555563,0.04481964337384258,0,60,80,940,942
12,11.683065,11.704765625,0.9229383680555556,0.08375217013888892,0.044924280237268514,0,52,72,932,430
13,11.804584599999998,11.828995225694444,1.0086827256944444,0.08574435763888877,0.045084635416666664,0,52,80,932,830
14,11.942344,11.965555555555556,1.0939735243055555,0.08529079861111111,0.045298258463541664,0,52,72,932,478
15,12.0370261,12.059203559027774,1.1790364583333333,0.08506293402777776,0.04533402958622683,0,52,72,932,542
16,12.136223699999999,12.158077256944445,1.2627560763888892,0.08371961805555594,0.04539717158564815,0,52,80,916,294
17,12.254567,12.276017795138891,1.34666015625,0.08390407986111081,0.045538990162037045,0,52,72,924,278
18,12.338879400000001,12.360757378472224,1.4299587673611112,0.08329861111111114,0.04554499421296297,0,52,80,924,254
19,12.4240871,12.446592881944444,1.5137326388888892,0.08377387152777804,0.04555358434606481,0,60,72,932,470
20,12.5277611,12.549741753472222,1.597387152777778,0.08365451388888889,0.045634810836226856,0,52,80,948,766
21,12.704138,12.727178819444443,1.6832139756944444,0.08582682291666632,0.04601652018229166,0,52,72,940,382
22,12.795805,12.82033203125,1.7690798611111112,0.08586588541666673,0.04604688404224537,0,52,80,916,310
23,12.887514900000001,12.908702256944444,1.8513259548611112,0.08224609375000003,0.046072401258680555,0,60,88,932,862
24,12.981207800000002,13.00525390625,1.937137586805556,0.08581163194444485,0.046117151331018506,0,52,72,948,622
25,13.089420800000001,13.113374565972224,2.02216796875,0.08503038194444379,0.046213360821759274,0,52,72,948,598
26,13.200449800000003,13.222005208333336,2.1054600694444443,0.08329210069444448,0.046318938078703714,0,52,80,924,470
27,13.3080309,13.331061197916664,2.1900412326388894,0.08458116319444509,0.04642091652199073,0,52,72,940,462
28,13.562941,13.58900390625,2.27830078125,0.08825954861111063,0.0471279296875,0,52,80,972,766
29,13.6694591,13.691944444444443,2.3631857638888887,0.08488498263888866,0.04720316116898148,0,60,80,932,614
30,13.8136231,13.83787109375,2.4499826388888892,0.08679687500000055,0.04744953522858796,0,52,80,916,318
31,13.933007,13.953611111111114,2.5334201388888893,0.08343750000000005,0.04758412905092593,0,52,80,924,446
32,14.0799212,14.103873697916667,2.6195334201388887,0.0861132812499994,0.04785141782407408,0,60,72,924,214
33,14.201600299999999,14.225225694444443,2.7063585069444445,0.08682508680555578,0.047995279947916664,0,60,72,940,838
34,14.3071927,14.329225260416667,2.7900043402777777,0.0836458333333332,0.04808008716724537,0,60,64,932,446
35,14.4030345,14.424900173611109,2.8738693576388887,0.08386501736111107,0.04812929506655092,0,52,80,932,662
36,14.5165686,14.544342447916666,2.9648589409722224,0.09098958333333362,0.04824784794560185,0,52,80,924,486
37,14.6652568,14.688927951388886,3.0515386284722217,0.08667968749999932,0.048489122178819434,0,60,80,932,534
38,14.7517747,14.774077690972224,3.1353255208333333,0.08378689236111159,0.04849480070891204,0,52,80,940,870
39,14.860512400000001,14.88205078125,3.2179361979166665,0.08261067708333325,0.04860047743055555,0,52,80,932,894
40,14.9463555,14.968611111111109,3.3024848090277783,0.08454861111111178,0.04860885959201388,0,60,80,940,734
41,15.03691,15.059346788194444,3.3884809027777787,0.08599609375000039,0.04862860785590277,0,52,72,940,382
42,15.1748986,15.199800347222224,3.47556640625,0.08708550347222133,0.04885097475405094,0,52,72,940,422
43,15.315701999999998,15.340197482638885,3.5622612847222217,0.08669487847222168,0.0490747341579861,0,52,88,932,486
44,15.4137914,15.434748263888887,3.646193576388889,0.08393229166666716,0.04911897786458332,0,52,72,908,614
45,15.5137774,15.53662109375,3.730850694444445,0.08465711805555598,0.04919070999710648,0,52,80,916,230
46,15.600529000000002,15.620188802083335,3.8119162326388887,0.08106553819444384,0.049201135706018535,0,52,72,932,326
47,15.6995966,15.722131076388886,3.897415364583333,0.08549913194444425,0.049269648799189804,0,52,72,932,558
48,15.7905052,15.815065104166667,3.984756944444445,0.0873415798611119,0.049292950665509254,0,52,72,924,406
49,15.9241924,15.946506076388891,4.0684765625,0.08371961805555506,0.04949178964120371,0,52,72,932,438
50,16.0378034,16.05916015625,4.152634548611111,0.08415798611111125,0.04961052336516204,0,44,80,924,382
51,16.137221,16.159066840277774,4.237287326388889,0.08465277777777747,0.049674081307870356,0,60,72,908,278
52,16.2383385,16.260651041666666,4.320520833333333,0.08323350694444454,0.04975054253472222,0,44,88,916,246
53,16.3638768,16.38775390625,4.405933159722221,0.08541232638888818,0.04992425311053242,0,52,80,948,782
54,16.458987,16.479913194444443,4.48982421875,0.0838910590277786,0.04995870406539351,0,52,72,932,654
55,16.542966699999997,16.565049913194443,4.573331163194443,0.0835069444444434,0.04996549479166667,0,52,72,924,342
56,16.6369638,16.659136284722226,4.65708984375,0.08375868055555635,0.05000852683738428,0,52,72,956,790
57,16.784920899999996,16.80656032986111,4.740269097222222,0.08317925347222221,0.05027621346932871,0,44,72,932,286
58,16.9614819,16.985164930555555,4.826490885416667,0.08622178819444493,0.050661141854745365,0,60,80,924,598
59,17.0509557,17.072432725694444,4.910173611111111,0.08368272569444457,0.05067607964409722,0,52,80,932,734
60,17.140769600000002,17.162332899305557,4.992682291666667,0.08250868055555571,0.050706877531828703,0,52,72,948,518
61,17.231090499999997,17.252799479166665,5.07552734375,0.08284505208333304,0.050738633897569434,0,60,72,924,534
62,17.332464399999996,17.35488064236111,5.159210069444446,0.08368272569444546,0.05081529405381944,0,52,80,916,278
63,17.4226973,17.4441796875,5.243402777777779,0.08419270833333314,0.05083657045717593,0,52,80,924,526
64,17.532827100000002,17.55736328125,5.3297374131944455,0.08633463541666675,0.05094844111689815,0,52,72,956,622
65,17.6535329,17.677801649305557,5.416974826388889,0.08723741319444311,0.05108677842881946,0,60,88,908,238
66,17.7584764,17.779268663194443,5.499318576388888,0.08234374999999972,0.05116645869502315,0,52,80,948,822
67,17.850603399999997,17.87361328125,5.584197048611111,0.08487847222222289,0.05120590096932871,0,52,80,940,574
68,17.9663283,17.98921875,5.668927951388889,0.0847309027777774,0.051334544994212965,0,52,80,924,606
69,18.1408304,18.16315538194445,5.7542513020833335,0.08532335069444485,0.05170376699942132,0,52,80,924,486
70,18.2637327,18.285731336805554,5.838537326388888,0.08428602430555454,0.05186330837673611,0,52,72,940,446
71,18.3683045,18.390006510416665,5.922719184027778,0.08418185763888975,0.05194703052662037,0,60,72,940,550
72,18.4814118,18.504301215277774,6.00802734375,0.0853081597222225,0.05206780779803239,0,52,80,916,406
73,18.594673500000006,18.618878038194445,6.095277777777778,0.08725043402777732,0.05218166775173612,0,44,88,908,302
74,18.6957188,18.716792534722227,6.1792643229166675,0.08398654513888992,0.052239700882523166,0,52,72,908,238
75,18.7819197,18.801673177083334,6.2605989583333335,0.08133463541666597,0.05225447591145834,0,60,72,956,638
76,18.8807819,18.903248697916666,6.345798611111111,0.08519965277777786,0.05232270869502315,0,52,72,948,670
77,18.9793392,19.001497395833333,6.4296875,0.08388888888888868,0.052382541232638885,0,52,80,948,462
78,19.092195500000006,19.114984809027774,6.514576822916666,0.08488932291666629,0.052501699942129616,0,60,88,932,782
79,19.1922206,19.215681423611112,6.6003233506944445,0.08574652777777825,0.05256399197048611,0,52,88,924,822
80,19.3320418,19.355757378472227,6.685809461805556,0.08548611111111182,0.052791449652777794,0,52,88,916,318
81,19.448252899999996,19.471345486111108,6.773524305555554,0.08771484374999794,0.052907588252314806,0,52,72,924,510
82,19.564832,19.587250434027773,6.858003472222222,0.08447916666666799,0.05303852900752313,0,52,80,940,830
83,19.66465,19.68744140625,6.942024739583332,0.08402126736111004,0.05310590277777778,0,52,80,932,350
84,19.7663655,19.787649739583333,7.025601128472222,0.08357638888888985,0.0531752025462963,0,52,80,924,342
85,19.897561800000002,19.9205078125,7.1110264756944455,0.08542534722222328,0.05337283890335647,0,44,72,940,350
86,20.0179174,20.039364149305555,7.194344618055554,0.0833181423611089,0.05352091471354167,0,52,88,924,286
87,20.135388100000004,20.156720920138888,7.280143229166668,0.08579861111111331,0.05365240704571758,0,52,72,940,846
