RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,0.9621245,0.9852083333333334,0.07412543402777777,0.07412543402777777,0.003796178747106481,1,0,0,0,0
3,1.0639891000000001,1.085978732638889,0.15875434027777774,0.08462890624999997,0.003863434968171297,1,0,0,0,0
4,2.9717569,2.99283203125,0.2423068576388889,0.08355251736111116,0.011460521556712962,1,0,0,0,0
5,3.1011841,3.12443359375,0.3312890625,0.08898220486111111,0.011638102213541668,1,0,0,0,0
6,3.3477884,3.3708528645833336,0.41883463541666666,0.08754557291666665,0.012300075954861111,1,0,0,0,0
7,3.7558538999999995,3.779767795138889,0.5066297743055556,0.0877951388888889,0.013638075086805557,1,0,0,0,0
8,4.7386209,4.7618272569444455,0.5927625868055556,0.08613281250000004,0.017371102792245373,1,0,0,0,0
9,5.931944799999999,5.953370225694443,0.6771115451388889,0.08434895833333333,0.021984411168981477,1,0,0,0,0
10,6.8222865000000015,6.847256944444443,0.7661979166666667,0.08908637152777776,0.025337745949074068,1,0,0,0,0
11,7.738905499999999,7.762274305555557,0.8520138888888888,0.08581597222222215,0.02879275173611112,1,0,0,0,0
12,7.9945336,8.018142361111114,0.93904296875,0.08702907986111119,0.029496247468171307,1,0,0,0,0
13,8.354110499999999,8.378313802083332,1.0258181423611108,0.08677517361111076,0.03063539858217592,1,0,0,0,0
14,8.912418299999997,8.937046440972223,1.1129947916666667,0.08717664930555591,0.03260021520543981,1,0,0,0,0
15,9.4802161,9.503693576388887,1.1996180555555556,0.08662326388888886,0.03460031467013888,1,0,0,0,0
16,12.9734284,12.996720920138891,1.2867165798611109,0.08709852430555531,0.04879168475115742,1,0,0,0,0
17,13.427164600000001,13.450364583333334,1.3727734375,0.08605685763888915,0.05032329644097223,1,0,0,0,0
18,14.862102499999999,14.884034288194444,1.4581011284722225,0.08532769097222248,0.05594138816550926,0,52,72,780,702
19,15.0190881,15.041870659722226,1.5434266493055555,0.085325520833333,0.05624351671006946,0,52,64,780,830
20,15.1153667,15.145217013888885,1.6385807291666667,0.09515407986111124,0.05627765118634258,0,44,72,788,766
21,15.2256612,15.245970052083333,1.7210546875,0.08247395833333315,0.05635381401909722,0,60,72,812,590
22,15.3953186,15.417671440972226,1.8054036458333331,0.08434895833333322,0.056717782479745384,1,0,0,0,0
23,15.495039499999999,15.522923177083333,1.894891493055556,0.08948784722222292,0.05678346535011573,0,52,72,804,750
24,15.5871908,15.6080859375,1.9772005208333332,0.08230902777777716,0.056795355902777775,0,52,80,788,790
25,15.694594500000001,15.717322048611114,2.0631011284722223,0.08590060763888907,0.056892587167245386,0,44,72,820,374
26,15.7809271,15.802762586805557,2.1477365451388892,0.08463541666666696,0.05689594184027778,0,52,80,796,630
27,15.941634299999999,15.963400607638887,2.2316861979166664,0.08394965277777722,0.05721547670717592,1,0,0,0,0
28,16.043984599999998,16.065813802083333,2.3165842013888893,0.08489800347222287,0.05728845666956019,1,0,0,0,0
29,16.1336814,16.154930555555556,2.3999370659722223,0.08335286458333302,0.05731247287326389,1,0,0,0,0
30,16.2175136,16.240162760416666,2.4847894965277777,0.08485243055555536,0.0573140552662037,0,52,72,788,742
31,16.314689899999998,16.338973524305555,2.57130859375,0.08651909722222229,0.057365270543981474,1,0,0,0,0
32,16.4713953,16.495119357638885,2.6580034722222217,0.08669487847222168,0.05765464952256943,1,0,0,0,0
33,16.563222800000002,16.58156901041667,2.7384418402777784,0.08043836805555671,0.057679696542245376,0,52,72,780,734
34,16.6847304,16.705190972222226,2.8198372395833333,0.08139539930555495,0.057855640552662055,0,52,72,796,630
35,16.841049899999998,16.862332899305557,2.903878038194444,0.08404079861111047,0.05816022858796297,0,52,72,804,550
36,16.946517800000002,16.96978298611111,2.9893793402777784,0.08550130208333462,0.058251681857638876,0,52,64,820,446
