RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,15.197096900000002,15.220909288194445,0.07351779513888887,0.07351779513888887,0.06311413122106482,0,44,72,812,606
3,15.3039772,15.327439236111115,0.1581857638888889,0.08466796875000002,0.06320522280092594,0,52,72,828,278
4,15.403007500000001,15.42859375,0.2445572916666667,0.08637152777777782,0.06326681857638888,0,44,72,812,894
5,15.4979017,15.521955295138891,0.32972222222222225,0.08516493055555555,0.06330097113715279,0,60,72,812,662
6,15.599435399999999,15.630041232638886,0.42119791666666667,0.09147569444444442,0.06337018048321758,0,52,80,804,590
7,15.7198152,15.742361111111109,0.5071918402777778,0.08599392361111108,0.06347987196180555,0,52,64,796,670
8,15.8643105,15.889476996527776,0.5943185763888889,0.0871267361111111,0.0637298267505787,1,0,0,0,0
9,15.971526,15.996145833333333,0.6807747395833333,0.08645616319444449,0.06381404622395834,0,52,72,780,846
10,16.0710001,16.094127604166665,0.7645464409722222,0.0837717013888889,0.06387325484664351,0,44,72,820,662
11,16.235851699999998,16.259605034722227,0.8487369791666667,0.08419053819444444,0.0642119502314815,0,52,72,804,550
12,16.3294307,16.353031684027773,0.9336610243055556,0.08492404513888896,0.06424737774884257,0,52,72,796,798
13,16.4803518,16.506475694444443,1.02251953125,0.0888585069444443,0.06451648401331019,0,52,72,812,622
14,16.6555034,16.6791015625,1.1071310763888889,0.08461154513888891,0.06488321035879631,1,0,0,0,0
15,16.7434759,16.76700954861111,1.1910329861111109,0.083901909722222,0.06489990234375,0,52,72,812,470
16,16.8495828,16.875240885416666,1.2771571180555557,0.08612413194444479,0.06499201569733797,0,52,80,788,782
17,16.971935199999997,16.99453342013889,1.3668294270833334,0.08967230902777779,0.06511543330439815,0,44,80,804,758
18,17.057407299999998,17.081697048611108,1.4525260416666668,0.08569661458333333,0.06512154586226851,0,52,64,820,598
